k_num,parameter,clf_name,AUC,AUC_CI,F1,F1_CI,ACC,ACC_CI,MCC,MCC_CI,AUPRC,AUPRC_CI,threshold,Precision,Precision_CI,Recall,Recall_CI
40.0,"{'classifier__C': 1, 'classifier__penalty': 'l2'}",logistic_regression,,,,,,,,,,,,,,,
,,,0.582,"(0.421, 0.735)",0.263,"(0.057, 0.435)",0.864,"(0.816, 0.908)",0.19,"(-0.006, 0.407)",0.128,"(0.057, 0.256)",0.639,0.238,"(0.059, 0.429)",0.294,"(0.077, 0.533)"
,,,0.558,"(0.453, 0.651)",0.358,"(0.246, 0.45)",0.616,"(0.549, 0.683)",0.129,"(-0.001, 0.262)",0.3,"(0.195, 0.425)",0.297,0.276,"(0.188, 0.373)",0.511,"(0.361, 0.659)"
,,,0.57,"(0.466, 0.684)",0.308,"(0.193, 0.412)",0.652,"(0.588, 0.717)",0.137,"(0.003, 0.274)",0.207,"(0.123, 0.329)",0.568,0.222,"(0.132, 0.31)",0.5,"(0.324, 0.656)"
30.0,"{'classifier__C': 1, 'classifier__penalty': 'l2'}",logistic_regression,,,,,,,,,,,,,,,
,,,0.617,"(0.458, 0.771)",0.261,"(0.087, 0.426)",0.835,"(0.782, 0.883)",0.183,"(-0.001, 0.355)",0.14,"(0.063, 0.29)",0.629,0.207,"(0.071, 0.364)",0.353,"(0.125, 0.562)"
,,,0.535,"(0.431, 0.639)",0.349,"(0.254, 0.438)",0.518,"(0.455, 0.585)",0.089,"(-0.05, 0.214)",0.285,"(0.178, 0.413)",0.316,0.244,"(0.173, 0.321)",0.617,"(0.469, 0.75)"
,,,0.632,"(0.531, 0.736)",0.339,"(0.22, 0.445)",0.682,"(0.622, 0.743)",0.184,"(0.047, 0.318)",0.238,"(0.154, 0.355)",0.562,0.25,"(0.153, 0.351)",0.528,"(0.357, 0.682)"
20.0,"{'classifier__C': 0.1, 'classifier__penalty': 'l2'}",logistic_regression,,,,,,,,,,,,,,,
,,,0.755,"(0.638, 0.855)",0.351,"(0.19, 0.5)",0.82,"(0.767, 0.869)",0.299,"(0.129, 0.467)",0.179,"(0.095, 0.357)",0.577,0.25,"(0.119, 0.395)",0.588,"(0.353, 0.824)"
,,,0.583,"(0.496, 0.679)",0.383,"(0.298, 0.468)",0.424,"(0.357, 0.487)",0.147,"(0.03, 0.247)",0.258,"(0.178, 0.368)",0.279,0.247,"(0.183, 0.312)",0.851,"(0.741, 0.949)"
,,,0.699,"(0.607, 0.786)",0.383,"(0.244, 0.51)",0.751,"(0.691, 0.807)",0.248,"(0.111, 0.392)",0.277,"(0.176, 0.428)",0.609,0.31,"(0.196, 0.424)",0.5,"(0.333, 0.667)"
