feature_num,classifier,best_params,val_accuracy,val_precision,val_recall,val_f1,val_auc,henan_accuracy,henan_precision,henan_recall,henan_f1,henan_auc,kits_accuracy,kits_precision,kits_recall,kits_f1,kits_auc
35,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.708737864,0.205479452,0.882352941,0.333333333,0.821661998,0.723214286,0.391304348,0.574468085,0.465517241,0.705733862,0.686695279,0.292134831,0.722222222,0.416,0.74323181
40,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.699029126,0.191780822,0.823529412,0.311111111,0.762527233,0.727678571,0.393939394,0.553191489,0.460176991,0.704050968,0.682403433,0.284090909,0.694444444,0.403225806,0.738719684
25,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.703883495,0.202702703,0.882352941,0.32967033,0.81512605,0.674107143,0.328947368,0.531914894,0.406504065,0.70657531,0.703862661,0.296296296,0.666666667,0.41025641,0.733784546
70,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.67961165,0.164383562,0.705882353,0.266666667,0.733893557,0.71875,0.388888889,0.595744681,0.470588235,0.712465441,0.630901288,0.259615385,0.75,0.385714286,0.730118443
65,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.689320388,0.178082192,0.764705882,0.288888889,0.735760971,0.714285714,0.383561644,0.595744681,0.466666667,0.71210482,0.626609442,0.247524752,0.694444444,0.364963504,0.729977439
45,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.674757282,0.179487179,0.823529412,0.294736842,0.755991285,0.709821429,0.371428571,0.553191489,0.444444444,0.703690347,0.652360515,0.268041237,0.722222222,0.390977444,0.728708404
50,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.674757282,0.179487179,0.823529412,0.294736842,0.75848117,0.709821429,0.371428571,0.553191489,0.444444444,0.705012622,0.652360515,0.268041237,0.722222222,0.390977444,0.72786238
75,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.67961165,0.154929577,0.647058824,0.25,0.737628385,0.727678571,0.393939394,0.553191489,0.460176991,0.711623993,0.618025751,0.256880734,0.777777778,0.386206897,0.727439368
55,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.669902913,0.168831169,0.764705882,0.276595745,0.75848117,0.709821429,0.371428571,0.553191489,0.444444444,0.707897584,0.639484979,0.26,0.722222222,0.382352941,0.724196277
60,logistic_regression,"{'classifier__C': 0.01, 'classifier__penalty': 'l2'}",0.669902913,0.168831169,0.764705882,0.276595745,0.758792406,0.6875,0.346666667,0.553191489,0.426229508,0.709099651,0.626609442,0.252427184,0.722222222,0.374100719,0.719825155
30,logistic_regression,"{'classifier__C': 0.1, 'classifier__penalty': 'l2'}",0.713592233,0.161290323,0.588235294,0.253164557,0.729225023,0.714285714,0.333333333,0.361702128,0.346938776,0.596946748,0.622317597,0.234693878,0.638888889,0.343283582,0.699238579
40,random_forest,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.854368932,0.290322581,0.529411765,0.375,0.833800187,0.741071429,0.358974359,0.29787234,0.325581395,0.678567135,0.772532189,0.292682927,0.333333333,0.311688312,0.689791314
20,logistic_regression,"{'classifier__C': 1, 'classifier__penalty': 'l2'}",0.718446602,0.152542373,0.529411765,0.236842105,0.699346405,0.6875,0.265306122,0.276595745,0.270833333,0.526746003,0.60944206,0.227722772,0.638888889,0.335766423,0.668076706
25,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.733009709,0.193548387,0.705882353,0.303797468,0.760971055,0.71875,0.318181818,0.29787234,0.307692308,0.542493088,0.626609442,0.225806452,0.583333333,0.325581395,0.647067118
60,random_forest,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.868932039,0.222222222,0.235294118,0.228571429,0.802987862,0.754464286,0.3,0.127659574,0.179104478,0.664022118,0.802575107,0.25,0.138888889,0.178571429,0.638042865
30,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.742718447,0.2,0.705882353,0.311688312,0.7351385,0.727678571,0.347826087,0.340425532,0.344086022,0.563649477,0.630901288,0.222222222,0.555555556,0.317460317,0.632684715
35,random_forest,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.868932039,0.25,0.294117647,0.27027027,0.780890134,0.790178571,0.5,0.14893617,0.229508197,0.655607645,0.811158798,0.277777778,0.138888889,0.185185185,0.624365482
65,random_forest,"{'classifier__max_depth': 7, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.898058252,0.25,0.117647059,0.16,0.795206972,0.763392857,0.125,0.021276596,0.036363636,0.653684337,0.836909871,0.4,0.111111111,0.173913043,0.622673435
